"","qseqid","type","region","sseqid","mean_pi","annotations"
"1","n_noahi_1_1473","conserved",2,"gracillis_1_963",80.0785,"50S ribosomal protein L7/L12 "
"2","n_noahi_1_1475","conserved",2,"gracillis_1_965",87.118,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"3","n_noahi_1_1475","conserved",2,"stinkeri_1_430",82.893,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"4","n_noahi_1_1476","conserved",2,"gracillis_1_966",90.244,"30S ribosomal protein S12 "
"5","n_noahi_1_1476","conserved",2,"stinkeri_1_429",88.618,"30S ribosomal protein S12 "
"6","n_noahi_1_1479","conserved",2,"gracillis_1_969",90.176,"""elongation factor Tu "", ""translation elongation factor Tu """
"7","n_noahi_1_1479","conserved",2,"stinkeri_1_426",86.398,"""elongation factor Tu "", ""translation elongation factor Tu """
"8","n_noahi_1_1480","conserved",2,"gracillis_1_970",96.078,"30S ribosomal protein S10 "
"9","n_noahi_1_1480","conserved",2,"stinkeri_1_425",96.078,"30S ribosomal protein S10 "
"10","n_noahi_1_1484","conserved",2,"gracillis_1_974",82.182,"50S ribosomal protein L2 "
"11","n_noahi_1_1485","conserved",2,"gracillis_1_975",86.316,"30S ribosomal protein S19 "
"12","n_noahi_1_1487","conserved",2,"gracillis_1_977",86.667,"30S ribosomal protein S3 "
"13","n_noahi_1_1488","conserved",2,"gracillis_1_978",86.029,"50S ribosomal protein L16 "
"14","n_noahi_1_1488","conserved",2,"stinkeri_1_417",80.741,"50S ribosomal protein L16 "
"15","n_noahi_1_1491","conserved",2,"gracillis_1_981",89.431,"50S ribosomal protein L14 "
"16","n_noahi_1_1491","conserved",2,"stinkeri_1_414",82.114,"50S ribosomal protein L14 "
"17","n_noahi_1_1493","conserved",2,"gracillis_1_983",84.181,"50S ribosomal protein L5 "
"18","n_noahi_1_1498","conserved",2,"gracillis_1_988",81.595,"30S ribosomal protein S5 "
"19","n_noahi_1_1498","conserved",2,"stinkeri_1_408",80.795,"30S ribosomal protein S5 "
"20","n_noahi_1_1502","conserved",2,"gracillis_1_992",90.411,"translation initiation factor IF-1 "
"21","n_noahi_1_1502","conserved",2,"stinkeri_1_404",89.041,"translation initiation factor IF-1 "
"22","n_noahi_1_1504","conserved",2,"gracillis_1_995",92.308,"30S ribosomal protein S11 "
"23","n_noahi_1_1504","conserved",2,"stinkeri_1_401",88.034,"30S ribosomal protein S11 "
"24","n_noahi_1_1506","conserved",2,"gracillis_1_997",80.415,"DNA-directed RNA polymerase subunit alpha "
